BASE,BRACKET 1,BRACKET 2,BRACKET 3,BRACKET 4,BRACKET 5,BRACKET 6,,,
,1,685,1096,2192,5479,21918,,sample computation,(937.5 + (0.2 * (J31 - 16667)))
Daily,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,
,0,0,61.65,280.85,"1,102.60",6034,,,
,,,,,,,,,
,1,4808,7692,15385,38462,153846,,,
Weekly,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,
,0,0,432.6,1971.2,7740.45,42355.65,,,
,,,,,,,,,
,1,10417,16667,33333,83333,333333,,,
Semi-monthly,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,
,0,0,937.5,4270.7,16770.7,91770.7,,,
,,,,,,,,,
,1,20833,33333,66667,166667,666667,,,
Monthly,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,
,0,0,1875,8541.8,33541.8,183541.8,,,
,,,,,,,,,
,1,250000,400000,800000,2000000,8000000,,,
Annually,0.00%,15.00%,20.00%,25.00%,30.00%,35.00%,,,
,0,0,22500,102500,402500,2202500,,,
